id,category,file,speaker,condition_or_trigger,text
intro-take-warrior-default,Intro,src/intro.ts,HERALD,chose warrior / default,"Iron and endurance. The Arena chose wisely."
intro-take-mage-fromwarrior,Intro,src/intro.ts,HERALD,chose mage / bg-warrior,"The trained body chooses fire. Rare combination. Don't waste it."
intro-take-mage-fromrogue,Intro,src/intro.ts,HERALD,chose mage / bg-rogue,"Stolen knowledge of flame. You already know how to burn without being seen."
intro-take-mage-default,Intro,src/intro.ts,HERALD,chose mage / default,"Fire and fury. Don't let them close the distance."
intro-take-rogue-fromwarrior,Intro,src/intro.ts,HERALD,chose rogue / bg-warrior,"The trained body learning subtlety. A dangerous combination. Make them bleed slowly."
intro-take-rogue-frommage,Intro,src/intro.ts,HERALD,chose rogue / bg-mage,"Desperation taught you to hide. Now let it teach you when to strike."
intro-take-rogue-default,Intro,src/intro.ts,HERALD,chose rogue / default,"Of course. Patient. Precise. Accumulated cuts."
whelp-before-a-r3,Story Beat: Before,src/story.ts,WHELP,rings>=3,"You come back heavier every time. Rings stacked like years — trophies of selves you don't remember being."
whelp-before-a-r1-cyc,Story Beat: Before,src/story.ts,WHELP,rings>=1 & cycles>0,"You came back — ringed now. Marked by wins you can't recall winning."
whelp-before-a-r1,Story Beat: Before,src/story.ts,WHELP,rings>=1 & cycles=0,"You came back wearing a ring that wasn't there before. Where did you earn it?"
whelp-before-a-cyc,Story Beat: Before,src/story.ts,WHELP,rings=0 & cycles>0,"You came back. You always come back — but this time there's something behind your eyes."
whelp-before-a-base,Story Beat: Before,src/story.ts,WHELP,rings=0 & cycles=0,"You came back. You always come back, and you never once remember why."
whelp-before-b,Story Beat: Before,src/story.ts,WHELP,,"Look at me. You know me. Say you know me."
whelp-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets denied_whelp,"I don't know you."
whelp-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets doubted_whelp,"...should I?"
whelp-before-c-cyc,Story Beat: Before,src/story.ts,WHELP,cycles>0,"Closer. You almost had it. Put me down again — maybe it surfaces."
whelp-before-c-base,Story Beat: Before,src/story.ts,WHELP,cycles=0,"No. You don't. Not yet. One day the door opens. Not today."
brute-before-a-r2-denied,Story Beat: Before,src/story.ts,BRUTE,rings>=2 & denied_whelp,"Denied the small one — and still you turn up ringed like a champion. Trophies from fights you don't even mourn. Stubborn. You always were."
brute-before-a-r2,Story Beat: Before,src/story.ts,BRUTE,rings>=2 & !denied_whelp,"Look at you. Ringed up like a victor, not a memory of the wars that earned them. Heavy, and hollow with it."
brute-before-a-denied,Story Beat: Before,src/story.ts,BRUTE,rings<2 & denied_whelp,"The small one told me. You denied it to its face. Stubborn — you always were."
brute-before-a-base,Story Beat: Before,src/story.ts,BRUTE,rings<2 & !denied_whelp,"Still wandering in blind. Still no idea what you're clawing your way back toward."
brute-before-b-cyc,Story Beat: Before,src/story.ts,BRUTE,cycles>0,"But you've walked this before. The shape of you remembers even when the rest won't."
brute-before-b-base,Story Beat: Before,src/story.ts,BRUTE,cycles=0,"Hit me hard enough and maybe it shakes something loose. It never has yet."
brute-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets denied_brute,"There's nothing to remember."
brute-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets reached_brute,"Then knock it loose."
core-before-a-r1,Story Beat: Before,src/story.ts,CORE,rings>=1,"Rings. Accretion. You log every trophy and lose the one record that matters. Predictable."
core-before-a-base,Story Beat: Before,src/story.ts,CORE,rings=0,"You run the loop again. Input, struggle, forget. I have counted your returns. You have not."
core-before-b-reached,Story Beat: Before,src/story.ts,CORE,reached_brute,"The big one says you reached for it. Reaching is not remembering — but it is a nonzero value. Unusual, for you."
core-before-b-base,Story Beat: Before,src/story.ts,CORE,!reached_brute,"You will dismantle me and feel nothing. As designed."
warden-before-a-r2,Story Beat: Before,src/story.ts,WARDEN,rings>=2,"Back, and decorated — two rings turning, maybe more. I kept the gate the whole while you were gone. Somebody had to."
warden-before-a-base,Story Beat: Before,src/story.ts,WARDEN,rings<2,"Back already. The gate remembers your hand even when your hand forgets the gate."
warden-before-b,Story Beat: Before,src/story.ts,WARDEN,,"Ask me what I keep behind it. Go on. Ask."
warden-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets asked_warden,"What do you guard?"
warden-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets dismissed_warden,"Nothing worth keeping."
rampart-before-a-r2,Story Beat: Before,src/story.ts,RAMPART,rings>=2,"You wear the wins on the outside now — rings turning, bright. Inside still hollow as a struck drum."
rampart-before-a-base,Story Beat: Before,src/story.ts,RAMPART,rings<2,"Still hollow. Still throwing yourself at walls, hoping one of them gives."
rampart-before-b,Story Beat: Before,src/story.ts,RAMPART,,"I was raised to hold a line you drew. You don't remember drawing it. Tear me down anyway — you always do."
wellspring-before-a-r2,Story Beat: Before,src/story.ts,WELLSPRING,rings>=2,"So many rings, and not one of them water. You collect the shape of returning and never the source of it."
wellspring-before-a-base,Story Beat: Before,src/story.ts,WELLSPRING,rings<2,"You came back thirsty and can't say for what. I am where you used to drink."
wellspring-before-b-cyc,Story Beat: Before,src/story.ts,WELLSPRING,cycles>0,"It's rising in you. Slowly. Spill me and let it rise the faster."
wellspring-before-b-base,Story Beat: Before,src/story.ts,WELLSPRING,cycles=0,"Not today. The well is deep and you are shallow this time through. Come back deeper."
sentinel-before-a-r3,Story Beat: Before,src/story.ts,SENTINEL,rings>=3,"Three rings. Four. A whole reliquary orbiting a thing that cannot name itself. I have stood here every time you arrived wearing them."
sentinel-before-a-base,Story Beat: Before,src/story.ts,SENTINEL,rings<3,"You reach the deep ones now. The marks that knew you best. We are harder to forget — and you will manage it anyway."
sentinel-before-b-asked,Story Beat: Before,src/story.ts,SENTINEL,asked_warden,"The Warden said you asked what it guards. It guards this: the road back to yourself. I am the last gate on that road."
sentinel-before-b-base,Story Beat: Before,src/story.ts,SENTINEL,!asked_warden,"I will not tell you what I keep. You have to want it first. You never have."
bastion-before-a-r3,Story Beat: Before,src/story.ts,BASTION,rings>=3,"Ringed like a monument to wars no one attended but us. A heavy crown on a light head."
bastion-before-a-base,Story Beat: Before,src/story.ts,BASTION,rings<3,"Almost to the mirror now. You can feel it — the shape at the end of the road, wearing your walk."
bastion-before-b,Story Beat: Before,src/story.ts,BASTION,,"Break me and there is one wall left standing. It looks exactly like you. It always has."
maw-before-a-r3,Story Beat: Before (cutscene),src/story.ts,MAW,rings>=3,"Come closer, ringed one. All those trophies, and still the hungriest thing in the room is the hole where your name should sit."
maw-before-a-base,Story Beat: Before (cutscene),src/story.ts,MAW,rings<3,"You always taste the same. Empty. I could swallow you whole and learn nothing you don't already refuse to know."
maw-before-b-cyc,Story Beat: Before (cutscene),src/story.ts,MAW,cycles>0,"But it has almost surfaced. One more swallow. Put me down and step into your own reflection."
maw-before-b-base,Story Beat: Before (cutscene),src/story.ts,MAW,cycles=0,"Feed me. Maybe what you give up, I hand back."
maw-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets fed_maw,"Take it, then."
maw-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets denied_maw,"I keep what is mine."
wisp-before-a-r1,Story Beat: Before (cutscene),src/story.ts,WISP,rings>=1,"You flicker into view ringed and weighted, and I am the one called insubstantial. I remember you when you were lighter than me."
wisp-before-a-base,Story Beat: Before (cutscene),src/story.ts,WISP,rings=0,"You came back thinner than a thought. So did I. We were always the parts of each other that wouldn't hold."
wisp-before-b,Story Beat: Before (cutscene),src/story.ts,WISP,,"You've walked further than this before. Say you feel it. Lie if you have to."
wisp-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets denied_wisp,"I feel nothing."
wisp-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets reached_wisp,"I feel the edges."
husk-before-a-denied,Story Beat: Before,src/story.ts,HUSK,denied_wisp,"The wisp said you felt nothing. Of course. We match — two shells knocking, neither one home."
husk-before-a-base,Story Beat: Before,src/story.ts,HUSK,!denied_wisp,"Hollow meets hollow. At least I know what I am: the part of you that stayed empty on purpose."
husk-before-b-r2,Story Beat: Before,src/story.ts,HUSK,rings>=2,"All those rings, ringing on the outside of a shell. Crack me open and listen — same silence in us both."
husk-before-b-base,Story Beat: Before,src/story.ts,HUSK,rings<2,"Break me. There's nothing in here to spill. There never was. You made sure."
bloom-before-a-r1,Story Beat: Before,src/story.ts,BLOOM,rings>=1,"You come back ringed and grim while I come back flowering. I grew from the parts of you that wanted to stay."
bloom-before-a-base,Story Beat: Before,src/story.ts,BLOOM,rings=0,"Every loop I open a little wider; every loop you close. We are the same root, choosing differently."
bloom-before-b-reached,Story Beat: Before,src/story.ts,BLOOM,reached_wisp,"The wisp said you reached. Good. Cut me down and let what blooms in me settle back into you."
bloom-before-b-base,Story Beat: Before,src/story.ts,BLOOM,!reached_wisp,"Wilt me, then. I'll only grow back. So will you. That was always the trouble."
zealot-before-a-r2,Story Beat: Before,src/story.ts,ZEALOT,rings>=2,"You wear your wins like relics and believe in none of them. I carry no shield because I believe in everything. Pity we can't trade."
zealot-before-a-base,Story Beat: Before,src/story.ts,ZEALOT,rings<2,"You came back doubting, as you do. I never doubt. That is the only difference between us — and it is the whole world."
zealot-before-b,Story Beat: Before,src/story.ts,ZEALOT,,"Strike me down. I'll go gladly. Conviction doesn't need to survive to be right."
phalanx-before-a-r2,Story Beat: Before,src/story.ts,PHALANX,rings>=2,"One ringed figure against a wall of us. You were a line in this formation once — before you broke ranks to go forgetting."
phalanx-before-a-base,Story Beat: Before,src/story.ts,PHALANX,rings<2,"We hold together because we remember why we stand. You stand alone because you can't. Come. Test the wall."
phalanx-before-b-cyc,Story Beat: Before,src/story.ts,PHALANX,cycles>0,"You've cracked us before. The shape of the gap you leave is starting to look like a name."
phalanx-before-b-base,Story Beat: Before,src/story.ts,PHALANX,cycles=0,"Push through if you can. There is only more of you on the other side."
thicket-before-a-r2,Story Beat: Before,src/story.ts,THICKET,rings>=2,"Rings turning above the bramble. You tended your trophies and let the rest of yourself grow over, wild and nameless."
thicket-before-a-base,Story Beat: Before,src/story.ts,THICKET,rings<2,"Every return you neglect a little more, and I fill the space. I am everything about you left untended."
thicket-before-b,Story Beat: Before,src/story.ts,THICKET,,"Burn me back. Clear the path. You won't like how short it is to the center."
nullity-before-a-r3,Story Beat: Before,src/story.ts,NULLITY,rings>=3,"Rings, marks, trophies — and underneath, me. I am the erasing you do between every loop. I keep what you throw away. It is mostly you."
nullity-before-a-base,Story Beat: Before,src/story.ts,NULLITY,rings<3,"You unmake yourself each time the door shuts. I am made of the unmade. Hello again. You won't remember saying it."
nullity-before-b-reached,Story Beat: Before,src/story.ts,NULLITY,reached_wisp,"You reached, early on. Reach again now, while I take this from you, and maybe the subtraction comes out positive."
nullity-before-b-base,Story Beat: Before,src/story.ts,NULLITY,!reached_wisp,"Undo me and you only undo a little less of yourself. Best offer you've had in a hundred returns."
colossus-before-a-r3,Story Beat: Before,src/story.ts,COLOSSUS,rings>=3,"All your little rings, turning. I am the size of everything you've forgotten. Set your trophies against that and see what they weigh."
colossus-before-a-base,Story Beat: Before,src/story.ts,COLOSSUS,rings<3,"You are so small against what you don't remember. And still you come. I'll grant you that — you always come."
colossus-before-b-cyc,Story Beat: Before,src/story.ts,COLOSSUS,cycles>0,"You've toppled me before. Each time you stand on the rubble a little taller. Climb. The mirror is just past my shoulder."
colossus-before-b-base,Story Beat: Before,src/story.ts,COLOSSUS,cycles=0,"Move me if you can. There is a road behind me you carved yourself."
leviathan-before-a-r3,Story Beat: Before (cutscene),src/story.ts,LEVIATHAN,rings>=3,"Ringed and crowned, and still you sink the same. I am every depth you went down into and came back up forgetting."
leviathan-before-a-base,Story Beat: Before (cutscene),src/story.ts,LEVIATHAN,rings<3,"You drown here every loop. You surface every loop. You never once bring anything back from the bottom. I am the bottom."
leviathan-before-b-cyc,Story Beat: Before (cutscene),src/story.ts,LEVIATHAN,cycles>0,"But you hold your breath longer now. Put me under. What waits past me is wearing your face."
leviathan-before-b-base,Story Beat: Before (cutscene),src/story.ts,LEVIATHAN,cycles=0,"Go down swinging if you must. The thing after me will look like you and know you better than this water does."
leviathan-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets sank_leviathan,"Then let me drown."
leviathan-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets held_leviathan,"I've held my breath before."
mirror-before-a-r1,Story Beat: Before (cutscene · the 10th),src/story.ts,YOUR ECHO,rings>=1,"Look at us. The same rings, turning the same way — I won them the times you did. And still you don't know your own face."
mirror-before-a-base,Story Beat: Before (cutscene · the 10th),src/story.ts,YOUR ECHO,rings=0,"You don't even know your own face. After every one of them tried to show you."
mirror-before-b-cyc,Story Beat: Before (cutscene · the 10th),src/story.ts,YOUR ECHO,cycles>0,"But it's sticking now. You've stood here before. Finish me and you keep a little more of it."
mirror-before-b-base,Story Beat: Before (cutscene · the 10th),src/story.ts,YOUR ECHO,cycles=0,"You'll beat me. You'll return to the Meld. And you still won't understand what you returned to — not the first time."
mirror-before-b-choice-1,Story Beat: Before (choice),src/story.ts,player,sets denied_self,"I am not you."
mirror-before-b-choice-2,Story Beat: Before (choice),src/story.ts,player,sets asked_self,"Then tell me what I am."
mirror-before-c-cyc,Story Beat: Before (cutscene · the 10th),src/story.ts,YOUR ECHO,cycles>0,"You already know. You just won't say it yet. Come on. Again."
mirror-before-c-base,Story Beat: Before (cutscene · the 10th),src/story.ts,YOUR ECHO,cycles=0,"No. You have to arrive there yourself. Come back when you can."
whelp-after-cyc,Story Beat: After (outro),src/story.ts,WHELP,cycles>0,"Down again — but you almost held my face that time. Almost. Next door. Go."
whelp-after-base,Story Beat: After (outro),src/story.ts,WHELP,cycles=0,"Down again. You'll forget me before the next door. One of these times you won't. I'll wait."
brute-after-reached,Story Beat: After (outro),src/story.ts,BRUTE,reached_brute,"You reached, and got a fistful of nothing. Still more than you came with. Move."
brute-after-base,Story Beat: After (outro),src/story.ts,BRUTE,!reached_brute,"Knocked loose — nothing. Figures. The next one knew you better than I did anyway."
warden-after,Story Beat: After (outro),src/story.ts,WARDEN,,"The gate opens. It always opens for you, and you always walk through it empty-handed. Go on."
rampart-after,Story Beat: After (outro),src/story.ts,RAMPART,,"A wall comes down and for half a breath you feel the wind behind it. Did you? ...No. Onward."
sentinel-after-cyc,Story Beat: After (outro),src/story.ts,SENTINEL,cycles>0,"The last gate gives. The road to your own face is open — and this time you are looking at it."
sentinel-after-base,Story Beat: After (outro),src/story.ts,SENTINEL,cycles=0,"The last gate gives. What waits ahead wears your shape. Try not to flinch from it."
bastion-after,Story Beat: After (outro),src/story.ts,BASTION,,"One wall left, and it is you. I held as long as stone can. I am sorry it has to be a mirror."
wisp-after,Story Beat: After (outro),src/story.ts,WISP,,"I scatter so easily — so do you. Carry a piece of me down with you. Maybe it sticks this time."
husk-after,Story Beat: After (outro),src/story.ts,HUSK,,"Cracked open, and nothing rattles out. Told you. Go be hollow nearer the center."
zealot-after,Story Beat: After (outro),src/story.ts,ZEALOT,,"I die certain; you live doubting. Tell me who got the better end of it. ...You can't. Go."
phalanx-after,Story Beat: After (outro),src/story.ts,PHALANX,,"Ranks broken. The gap I leave still has your shape in it. Fill it someday. You, maybe."
nullity-after,Story Beat: After (outro),src/story.ts,NULLITY,,"You unmade the unmaker. Less of you to lose now. Spend what is left carefully past here."
colossus-after-cyc,Story Beat: After (outro),src/story.ts,COLOSSUS,cycles>0,"Moved, at last. Stand on the rubble — higher — yes. Now you can see who waits. You know him."
colossus-after-base,Story Beat: After (outro),src/story.ts,COLOSSUS,cycles=0,"Something my size, and you moved it. Stand tall on what is left. You can almost see who is waiting."
defeat-a-mirror,Death Ceremony,src/story.ts,(no name — the lost form),foe = YOUR ECHO,"So I lose to myself. Of course. The shape gives out — and you, of all things, know exactly what I am beneath it."
defeat-a-cyc,Death Ceremony,src/story.ts,(no name — the lost form),cycles>0 (foe = name),"Down again, {foe}. You always could put me down. It changes nothing about what comes next."
defeat-a-base,Death Ceremony,src/story.ts,(no name — the lost form),cycles=0 (foe = name),"So that is it, {foe}. The form gives out. I thought it would hold longer than this."
defeat-b-cyc,Death Ceremony,src/story.ts,(no name — the lost form),cycles>0 (+ rings>=2 tail),"But this is not the end of it. It never is. I come back. And if not this shape, then something near enough to me you will not tell us apart — and it will walk the same road to your door.{ rings>=2: Rings and all — it comes to the same return.}"
defeat-b-base,Death Ceremony,src/story.ts,(no name — the lost form),cycles=0 (+ rings>=2 tail),"It does not end here. I cannot say how I know that. I come back — or something like me does, wearing my hunger, and it finds the same way to you.{ rings>=2: Rings and all — it comes to the same return.}"
classselect-eyebrow,Class Select,src/screens/classSelectScreen.ts,UI,run start,"YOU HAVE BEEN UNMERGED"
classselect-title,Class Select,src/screens/classSelectScreen.ts,UI,run start,"CHOOSE YOUR FORM"
classselect-body,Class Select,src/screens/classSelectScreen.ts,UI,run start,"You've been brought back with a purpose. The form is your tool — not your identity."
classselect-warrior-role,Class Select,src/screens/classSelectScreen.ts,UI,warrior option,"STRIKER"
classselect-warrior-flavor,Class Select,src/screens/classSelectScreen.ts,UI,warrior option,"Direct. Controlled. You find what you're hunting and bring it back clean."
classselect-mage-role,Class Select,src/screens/classSelectScreen.ts,UI,mage option,"CASTER"
classselect-mage-flavor,Class Select,src/screens/classSelectScreen.ts,UI,mage option,"Volatile. Brilliant. Some marks don't come quietly. This form doesn't ask them to."
classselect-rogue-role,Class Select,src/screens/classSelectScreen.ts,UI,rogue option,"BLEEDER"
classselect-rogue-flavor,Class Select,src/screens/classSelectScreen.ts,UI,rogue option,"Patient. Persistent. Some marks take time. This form was built for the long hunt."
classselect-stat,Class Select,src/screens/classSelectScreen.ts,UI,each option,"{hp} HP · {n} cards"
evolution-eyebrow,Evolution (between runs),src/screens/evolutionScreen.ts,UI,run complete,"RUN {n} COMPLETE · {n} RUN(S) REMAIN"
evolution-title,Evolution (between runs),src/screens/evolutionScreen.ts,UI,run complete,"YOUR FORM EVOLVES"
evolution-body,Evolution (between runs),src/screens/evolutionScreen.ts,UI,run complete,"The hunt continues. Choose how you approach what's left."
evolution-deepen-label,Evolution (option),src/data/campaign.ts,UI,deepen,"DEEPEN"
evolution-deepen-desc,Evolution (option),src/data/campaign.ts,UI,deepen,"Your identity intensifies. All cards hit harder."
evolution-deepen-flavor-warrior,Evolution (option),src/data/campaign.ts,UI,deepen / warrior,"The iron was already there. Now it's denser."
evolution-deepen-flavor-mage,Evolution (option),src/data/campaign.ts,UI,deepen / mage,"The flame didn't grow wider. It grew hotter."
evolution-deepen-flavor-rogue,Evolution (option),src/data/campaign.ts,UI,deepen / rogue,"Precision sharpened past what most could see."
evolution-absorb-label,Evolution (option),src/data/campaign.ts,UI,absorb,"ABSORB {CLASS}"
evolution-absorb-desc-warrior,Evolution (option),src/data/campaign.ts,UI,absorb warrior,"Cheap direct strikes — cut through status-immune foes"
evolution-absorb-desc-mage,Evolution (option),src/data/campaign.ts,UI,absorb mage,"Cheap burst — overwhelm foes that heal back"
evolution-absorb-desc-rogue,Evolution (option),src/data/campaign.ts,UI,absorb rogue,"Cheap poison — damage that slips past armor"
evolution-absorb-flavor-warrior,Evolution (option),src/data/campaign.ts,UI,absorb warrior,"Strike is direct. Efficient. Sometimes the simplest tool is the right one."
evolution-absorb-flavor-mage,Evolution (option),src/data/campaign.ts,UI,absorb mage,"Fire has a certain persuasiveness. Borrow it."
evolution-absorb-flavor-rogue,Evolution (option),src/data/campaign.ts,UI,absorb rogue,"Patience is a weapon too. Now you carry both."
modifier-title,Boon / Modifier (run start) [UPDATED],src/screens/modifierScreen.ts,UI,run start,"WHAT YOU CARRY BACK"
modifier-sub,Boon / Modifier (run start) [UPDATED],src/screens/modifierScreen.ts,UI,run start,"One thing you remember how to do"
modifier-skip,Boon / Modifier (run start) [UPDATED],src/screens/modifierScreen.ts,UI,skip button,"Carry nothing — go bare →"
modifier-momentum-desc,Boon / Modifier,src/data/modifiers.ts,UI,Momentum,"Melds cost 1 less AP"
modifier-momentum-flavor,Boon / Modifier,src/data/modifiers.ts,UI,Momentum,"When you meld, keep melding. Don't give the mark time to breathe."
modifier-resilience-desc,Boon / Modifier,src/data/modifiers.ts,UI,Resilience,"+15 max HP"
modifier-resilience-flavor,Boon / Modifier,src/data/modifiers.ts,UI,Resilience,"Some marks fight back harder than expected. You've planned for it."
modifier-overdrive-desc,Boon / Modifier,src/data/modifiers.ts,UI,Overdrive,"Attacks deal ×1.3 · incoming ×1.2"
modifier-overdrive-flavor,Boon / Modifier,src/data/modifiers.ts,UI,Overdrive,"Glass cannon. You've run this way before."
modifier-cascade-desc,Boon / Modifier,src/data/modifiers.ts,UI,Cascade,"Melds draw 2 cards instead of 1"
modifier-cascade-flavor,Boon / Modifier,src/data/modifiers.ts,UI,Cascade,"Each meld opens the next door. Chain them."
modifier-headstart-desc,Boon / Modifier,src/data/modifiers.ts,UI,Head Start,"Start with a Tier II Strike in your deck"
modifier-headstart-flavor,Boon / Modifier,src/data/modifiers.ts,UI,Head Start,"You came prepared this time."
modifier-efficiency-desc,Boon / Modifier,src/data/modifiers.ts,UI,Efficiency,"All cards cost 1 less AP (min 1)"
modifier-efficiency-flavor,Boon / Modifier,src/data/modifiers.ts,UI,Efficiency,"Nothing goes to waste on this hunt."
reward-title,Reward (post-fight) [UPDATED],src/screens/rewardScreen.ts,UI,after non-final win,"SPLINTER RETURNED"
reward-sub,Reward (post-fight) [UPDATED],src/screens/rewardScreen.ts,UI,after non-final win,"Take back a piece of what broke off"
reward-opt-add-label,Reward (option),src/screens/rewardScreen.ts,UI,add card,"Add {name}"
reward-opt-add-sub,Reward (option),src/screens/rewardScreen.ts,UI,add card,"A T1 {name} joins your deck"
reward-opt-hp-label,Reward (option),src/screens/rewardScreen.ts,UI,heal,"Restore {n} HP"
reward-opt-hp-sub,Reward (option),src/screens/rewardScreen.ts,UI,heal,"Recover before the next fight"
reward-opt-variant-label,Reward (option),src/screens/rewardScreen.ts,UI,upgrade variant,"{name} {TIER}: {variant}"
reward-opt-variant-sub,Reward (option),src/screens/rewardScreen.ts,UI,upgrade variant,"{variant description}"
shop-title,Collection / Shop,src/screens/shopScreen.ts,UI,collection menu,"COLLECTION"
shop-count,Collection / Shop,src/screens/shopScreen.ts,UI,header,"{n}/{total} unlocked"
shop-frags,Collection / Shop,src/screens/shopScreen.ts,UI,header,"⬡ {n}"
shop-badge-owned,Collection / Shop,src/screens/shopScreen.ts,UI,owned card,"UNLOCKED"
shop-buy,Collection / Shop,src/screens/shopScreen.ts,UI,buy button,"⬡ {cost}"
shop-card-sub,Collection / Shop,src/screens/shopScreen.ts,UI,each card,"{card name} · {variant description}"
shop-back,Collection / Shop,src/screens/shopScreen.ts,UI,back button,"← BACK"
campaign-eyebrow,Campaign Complete,src/screens/campaignCompleteScreen.ts,UI,all 3 runs done,"ALL MARKS RETURNED"
campaign-title,Campaign Complete,src/screens/campaignCompleteScreen.ts,UI,all 3 runs done,"RETURNED TO THE MELD"
campaign-body,Campaign Complete,src/screens/campaignCompleteScreen.ts,UI,all 3 runs done,"Three splinters. Three returns. Your bounty is paid."
campaign-pause,Campaign Complete,src/screens/campaignCompleteScreen.ts,UI,all 3 runs done,"You remember — dimly — what it felt like before you had a form. Before you had a name. The Meld opens."
campaign-button,Campaign Complete,src/screens/campaignCompleteScreen.ts,UI,all 3 runs done,"DISSOLVE INTO THE MELD"
victory-flash-nonfinal,Victory (battle flash),src/battle.ts,UI,non-final win,"MARK {n} RETURNED  ⬡ +10"
victory-title-finale,Victory (end screen),src/battle.ts,UI,beat the Echo,"MELD TO ALL HELD"
victory-sub-finale,Victory (end screen),src/battle.ts,UI,beat the Echo,"Your echo is held · {turns} turns · ⬡ +{frags}"
victory-restart-finale,Victory (end screen),src/battle.ts,UI,beat the Echo,"RETURN TO THE MELD →"
victory-title-run,Victory (end screen),src/battle.ts,UI,run cleared (not finale),"VICTORY"
victory-sub-run,Victory (end screen),src/battle.ts,UI,run cleared,"All marks returned · {turns} turns · ⬡ +{frags}"
victory-restart-run,Victory (end screen),src/battle.ts,UI,run cleared,"CONTINUE JOURNEY →"
defeat-title,Defeat (end screen),src/battle.ts,UI,player HP 0,"FORM LOST"
defeat-sub,Defeat (end screen),src/battle.ts,UI,player HP 0,"Mark {n} held · {turns} turns · ⬡ +{frags}"
defeat-restart,Defeat (end screen),src/battle.ts,UI,player HP 0,"END JOURNEY"
flash-encounter-intro,In-battle flash,src/battle.ts,UI,encounter start,"MARK {n}  ·  {ENEMY NAME}"
flash-encounter-info,HUD,src/battle.ts,UI,top bar,"MARK {n} / {total}  (finale: THE MELD)"
flash-turn,In-battle flash,src/battle.ts,UI,player turn start,"TURN {n}"
flash-mark-acts,In-battle flash,src/battle.ts,UI,enemy turn start,"MARK ACTS"
flash-move,In-battle flash,src/battle.ts,UI,enemy move lands,"{move name}!   (defend/heal: {move name}! ✦)"
flash-immune,In-battle flash,src/battle.ts,UI,status hits immune foe,"IMMUNE"
flash-firstrun-hint,In-battle flash,src/battle.ts,UI,"first run, turn 1","HOLD to carry  ·  MELD pairs to forge"
flash-reward-add,In-battle flash,src/battle.ts,UI,card reward applied,"{name} added to deck  (fallback: Card added)"
flash-reward-upgrade,In-battle flash,src/battle.ts,UI,variant reward applied,"{name} T{tier} upgraded  (fallback: Variant updated)"
hud-meld-btn,HUD (card),src/battle.ts,UI,meldable pair,"⬆ MELD ({n}⚡)"
